ID	Produto	Cor
1	Nome	Azul
2	Nome	Vermelho
3	Nome	Branco
4	Nome	Rosa
5	Nome	Preto
6	Nome	Verde
7	Nome	NA
8	Nome	Roxo
9	Nome	Cinza
10	Nome	Dourado
11	Nome	Azul
12	Nome	Vermelho
13	Nome	Branco
14	Nome	Rosa
15	Nome	Preto
16	Nome	Vermelho
17	Nome	Verde
18	Nome	NA
19	Nome	Roxo
20	Nome	Cinza
21	Nome	Dourado
22	Nome	Azul
23	Nome	Vermelho
24	Nome	Branco
25	Nome	Rosa
26	Nome	Preto
27	Nome	Azul
28	Nome	Vermelho
29	Nome	Branco
30	Nome	Rosa
31	Nome	Preto
32	Nome	Verde
33	Nome	NA
34	Nome	Roxo
35	Nome	Cinza
36	Nome	Dourado
37	Nome	Azul
38	Nome	Vermelho
39	Nome	Branco
40	Nome	Rosa
41	Nome	Preto
42	Nome	Verde
43	Nome	NA
44	Nome	Roxo
45	Nome	Cinza
46	Nome	Dourado
47	Nome	Azul
48	Nome	Vermelho
49	Nome	Branco
50	Nome	Rosa
51	Nome	Preto
52	Nome	NA
53	Nome	Roxo
54	Nome	Cinza
55	Nome	Dourado
56	Nome	Azul
57	Nome	Vermelho
58	Nome	Branco
59	Nome	Rosa
60	Nome	Preto
61	Nome	NA
62	Nome	Roxo
63	Nome	Cinza
64	Nome	Dourado
65	Nome	Azul
66	Nome	Vermelho
67	Nome	Branco
68	Nome	Rosa
69	Nome	Preto
70	Nome	Cinza
71	Nome	Verde
72	Nome	NA
73	Nome	Roxo
74	Nome	Cinza
75	Nome	Dourado
76	Nome	Cinza
77	Nome	Vermelho
78	Nome	Branco
79	Nome	Rosa
80	Nome	Preto
81	Nome	Cinza
82	Nome	Verde
83	Nome	NA
84	Nome	Roxo
85	Nome	Cinza
86	Nome	Dourado
87	Nome	Cinza
88	Nome	Vermelho
89	Nome	Branco
90	Nome	Rosa
91	Nome	Preto
92	Nome	Cinza
93	Nome	Verde
94	Nome	NA
95	Nome	Roxo
96	Nome	Cinza
97	Nome	Dourado
98	Nome	Cinza
99	Nome	Cinza
100	Nome	Cinza
